region_name,factors,t_test,factors_significant,F_test,shapiro,het_breuschpagan,durbin_watson,vif,add_const,coefs,mape
Санкт-Петербург,"['area', 'date_encoded', 'kitchen_area', 'rooms', 'levels', 'object_type', 'building_type', 'level']","[True, True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'kitchen_area', 'rooms', 'levels', 'object_type', 'building_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True, True]",False,"[ 120949.48228507   53294.0031172   121208.42298801 -580634.46220483
  -73987.74700564  -23551.90226076 -125453.82526343   14945.0374833 ]",0.286043550959676
Московская область,"['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type']","[True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type']",True,False,False,True,"[False, True, True, True, True, True]",False,"[ 55639.81406445  98222.07627515  29611.90248184  25679.79661041
 -37121.56648809]",0.3326830012276756
Нижегородская область,"['area', 'rooms', 'date_encoded', 'levels', 'object_type', 'kitchen_area']","[True, True, True, True, True, True, True]","['area', 'rooms', 'date_encoded', 'levels', 'object_type', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[  94058.83850506 -877366.37564523   19090.15917897   43467.0643917
  -49856.55266906  -28833.58196004]",0.3776038953490468
Краснодарский край,"['area', 'date_encoded', 'building_type', 'rooms', 'object_type', 'levels', 'kitchen_area']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'building_type', 'rooms', 'object_type', 'levels', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  72855.05936403   27194.98221894 -246570.91791563 -281774.94989436
  -50385.39941305   11484.83633755    5592.31309687]",0.3256199459970478
Москва,"['area', 'date_encoded', 'building_type', 'object_type', 'levels', 'level']","[True, True, True, True, True, True, True]","['area', 'date_encoded', 'building_type', 'object_type', 'levels', 'level']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[ 129367.95666714   80502.04887589  432857.99262773 -118907.54577486
   51024.99739393   19450.64969852]",0.22828061419768422
Самарская область,"['area', 'levels', 'object_type', 'rooms', 'date_encoded', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'object_type', 'rooms', 'date_encoded', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  63097.19444804   44620.92268336  -69350.70261072 -403810.3507167
    2357.54331551   13014.12342573  -66425.17501367]",0.24763887753204378
Республика Татарстан,"['area', 'levels', 'rooms', 'date_encoded', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True]","['area', 'levels', 'rooms', 'date_encoded', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[  72394.74901543   40214.21968026 -516688.14977362   13436.49986822
   28454.10529208  -62640.33668377]",0.27424820083367135
Ставропольский край,"['area', 'date_encoded', 'kitchen_area', 'rooms', 'levels', 'object_type', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'kitchen_area', 'rooms', 'levels', 'object_type', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  46782.17075452   18617.17774696   22749.43323164 -253580.05323833
    2332.45041344  -12148.89158039  -63431.07841705]",0.213770799953368
Республика Башкортостан,"['area', 'levels', 'date_encoded', 'rooms', 'object_type', 'kitchen_area']","[True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'rooms', 'object_type', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[  55011.98131985   79954.31361273   -3783.25441354 -212549.72111705
  -40011.78193451   -1505.91359706]",0.3190631669622959
Свердловская область,"['area', 'levels', 'rooms', 'date_encoded', 'kitchen_area', 'object_type', 'level']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'rooms', 'date_encoded', 'kitchen_area', 'object_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  72997.97473136   40652.29538848 -514302.38656967     911.36712541
   18382.32329797  -31384.65842838    7130.80104764]",0.34760135428039907
